ParcelId,AddrNum,StPreDir,StName,StType,StSufDir,Address,WARD,NeighborhoodNumber,NeighborhoodName,LowAddrNum,LowAddrSuf,HighAddrNum,HighAddrSuf,Description,Usage,Class,LegalDescription,PropertyType,Side lot Eligible?,Stories,Irregular_Lot,Frontage,NbrOfUnits,SQFT
38169450000,1320,,SHAWMUT,PL,,1320   SHAWMUT PL ,13,78,Hamilton Heights,1320,,1320,,,Vacant Lot,A,C B 3816 WB SHAWMUT PL31 FT X 117 FTMT GAMBLE ADDNLOT N-13 & S-14,Lot,,0,,,,3629
38029270000,1383,,SEMPLE,AV,,1383   SEMPLE AV ,13,78,Hamilton Heights,1383,,1383,,Demolished: 2 story brick,Vacant Lot,C,C. B. 3802 W SEMPLE50 FT X 120 FTROSE HILL ADDNBOUNDED N 140 FT S OF RIDGE,Lot,,0,,,,6024
38029275000,1381,,SEMPLE,AV,,1381   SEMPLE AV ,13,78,Hamilton Heights,1381,,1381,,,Vacant Lot,C,C. B. 3802 W SEMPLE25 FT X 120 FT 6 INROSE HILL ADDN BLK 10BOUNDED N-190 FT S OF RIDGE AVE,Lot,,0,,,,3013
38099170000,1234,,CLARA,AV,,1234   CLARA AV ,10,48,West End,1234,,1234,,,Vacant Lot,C,C. B. 3809 W CLARA32 FT 7 IN X 122 FT 3/4 INCENTURY PL ADDNLOT N7,Lot,,0,,,,3463
38349415000,5930,,HAMILTON,TER,,5930   HAMILTON TER ,13,78,Hamilton Heights,5930,,5930,,Demolished: 2 story brick,Vacant Lot,A,C. B. 3834 S HAMILTON TERRACE30 FT X 99 FT 6 INHAYDEN & MC DERMOTT'S ROSE HILL SUBDBLOCK 2LOT 21,Lot,Yes,0,,,,2932
38349420000,5924,,HAMILTON,TER,,5924   HAMILTON TER ,13,78,Hamilton Heights,5924,,5924,,two story residence,residential,,C. B. 3834 S HAMILTON TERRACE60 FT X 99 FTHAYDENS TO MCDERMOTTS ADDNBLOCK 2LOTS 22 & 23,Building,,,,,,5860
38379100000,5966,,DR MARTIN LUTHER KING,DR,,5966   DR MARTIN LUTHER KING DR ,13,78,Hamilton Heights,5966,,5968,,,Vacant Lot,C,C B 3837 DR MARTIN LUTHER KING DR45 FT X 231 FTROSE HILL ADDNBLOCK 5 LOT W 7 E 8,Lot,,0,Yes,,,10088
38379125000,5956,,DR MARTIN LUTHER KING,DR,,5956   DR MARTIN LUTHER KING DR ,13,78,Hamilton Heights,5956,,5958,,,Vacant Lot,C,C B 3837 DR MARTIN LUTHER KING DR50 FT 1 1/2 IN X 223 FT 5 1/4 IN / IRREGGAMBLES 2ND ADDNBLOCK 5 LOT W-6,Lot,,0,Yes,,,10378
38379130000,5948,,DR MARTIN LUTHER KING,DR,,5948   DR MARTIN LUTHER KING DR ,13,78,Hamilton Heights,5948,,5952,,,Vacant Lot,C,C B 3837 DR MARTIN LUTHER KING DR49 FT 10 1/2 IN / 50 FT X 223 FT 5 INROSE HILL ADDNLOT E-6,Lot,,0,Yes,,,12059
38309105000,6029,,BARTMER,AV,,6029   BARTMER AV ,10,48,West End,6029,,6029,,,Vacant Lot,C,C.B. 3830 A BARTMER42 FT X123.54 FT / 120 FT 11 INDWYERS ADDNLOT 41 W 40,Lot,,0,,,,5133
